d_pos,d_neg,s_pos,s_neg,hudongdu,comment_count
0.720265508,0.279734552,0.624094307,0.375905603,0.255813953,50
0.589849532,0.410150468,0.410334527,0.589665532,0.211382114,51
0.373917192,0.626082778,0.380314291,0.61968565,0.314606742,69
0.672681212,0.327318728,0.379032463,0.620967507,0.120805369,23
0.317619085,0.682380974,0.470776498,0.529223502,0.256410256,18
0.74925673,0.2507433,0.449168772,0.550831258,0.114285714,6
0.502761662,0.497238368,0.604126215,0.395873755,0.333333333,81
0.335974723,0.664025247,0.462216049,0.537783861,0.195121951,27
0.740193725,0.259806246,0.53552115,0.46447891,0.125,26
0.584181786,0.415818214,0.385446757,0.614553273,0.136363636,39
0.646098495,0.353901476,0.341236502,0.658763468,0.090909091,20
0.403295428,0.596704602,0.400733978,0.599265993,0.133333333,34
0.642981529,0.357018471,0.625507295,0.374492764,0.086956522,16
0.722692788,0.277307212,0.502677679,0.497322321,0.166666667,47
0.621612132,0.378387839,0.516298652,0.483701289,0.224489796,97
0.579788923,0.420210987,0.51598978,0.48401016,0.172839506,41
0.662507534,0.337492436,0.860877156,0.139122829,0.333333333,44
0.512929142,0.487070829,0.460492313,0.539507687,0.294117647,53
0.494097441,0.505902469,0.508365273,0.491634667,0.266666667,35
0.522859931,0.477140009,0.701105416,0.298894584,0.152380952,98
0.628292143,0.371707857,0.576531231,0.423468709,0.492753623,115
0.472007662,0.527992308,0.575190008,0.424809992,0.447761194,125
0.516185462,0.483814567,0.360062242,0.639937818,0.208955224,54
0.386926323,0.613073707,0.538669944,0.461330056,0.45,65
0.529818177,0.470181853,0.686379313,0.313620746,0.292307692,68
0.532640815,0.467359126,0.521698236,0.478301793,0.431034483,50
0.39771533,0.60228467,0.171565145,0.828434885,0.287234043,37
0.567117274,0.432882786,0.424248874,0.575751185,0.21875,30
0.271492302,0.728507698,0.501009047,0.498990953,0.19047619,39
0.37155962,0.62844044,0.17314139,0.82685864,0.263736264,59
0.488205999,0.511793971,0.544013143,0.455986887,0.36,38
